,SERVICES,SERVICE_DATA,MIN_ALL,MIN_ANALYSIS,MIN_PLANNING,MIN_EXECUTION,MAX_ALL,MAX_ANALYSIS,MAX_PLANNING,MAX_EXECUTION,AVG_ALL,AVG_ANALYSIS,AVG_PLANNING,AVG_EXECUTION,STD_ALL,STD_ANALYSIS,STD_PLANNING,STD_EXECUTION
G4.2.1,10,50,3.0830269679427147e-06,0.0005689159734174609,0.0017583750304766,0.0008355419849976897,3.833032678812742e-06,0.0013463749783113599,0.0021334170014597476,0.0022132500307634473,3.182686530568633e-06,0.000585623276049432,0.001795780877486587,0.0008584878873477337,5.882640148580735e-08,2.4345128688276898e-05,1.6173807959197836e-05,4.303703084755633e-05
G4.2.2,10,50,3.1249946914613247e-06,0.0005795829929411411,0.0017543750000186265,0.0010300829890184104,3.958004526793957e-06,0.0007631250191479921,0.002169750048778951,0.001079290988855064,3.186944619907687e-06,0.0005848702106913226,0.0018014707867520124,0.001052218083612664,6.101245734750949e-08,6.116890500155702e-06,4.259616181356116e-05,4.475485253527204e-06
G4.2.3,10,50,3.0829687602818012e-06,0.0005536660319194198,0.0017068749875761569,0.0009957500151358545,3.875000402331352e-06,0.0047662919969297945,0.0023566249874420464,0.0012788340100087225,3.1646166462451218e-06,0.0005867579275259598,0.001754689189260387,0.0010180402243681723,8.442526155467706e-08,0.00022155337752292697,4.978815376698698e-05,1.0483860297138918e-05
G2.3.1,10,100,1.7909915186464787e-06,0.0005470420001074672,0.0015382920391857624,0.0007106669945642352,2.4589826352894306e-06,0.001480833045206964,0.0017665000050328672,0.0020402080263011158,1.8703087918319792e-06,0.000563267670927212,0.0015721771936188598,0.0007320260719365358,7.895328383770936e-08,2.8453112186592383e-05,9.932135918565344e-06,4.047215701332212e-05
G2.3.2,10,100,3.0840164981782436e-06,0.0010746250045485795,0.003303582954686135,0.0019271670025773346,3.7919962778687477e-06,0.002161791955586523,0.0035249170032329857,0.0038542079855687916,3.176031544083549e-06,0.0011032730780248608,0.003366534884277163,0.0019806588214988092,1.2016791117996884e-07,4.405824577025356e-05,2.112992569571288e-05,9.710872493081524e-05
G2.3.3,10,100,3.1249946914613247e-06,0.0010683339787647128,0.003308124956674874,0.0019602079992182553,3.708992153406143e-06,0.0011643749894574285,0.004022500012069941,0.002301707980223,3.1849031074671075e-06,0.0010915876852848002,0.003402370281651653,0.0019714925202809243,1.0212690233253083e-07,4.8919008300029176e-06,8.046103647073914e-05,1.9686809881186702e-05
G4.2.1,10,100,2.9999646358191967e-06,0.001106458017602563,0.003457832965068519,0.002017499995417893,3.5829725675284863e-06,0.0011607500491663814,0.00427595799556002,0.0024469589698128402,3.1010939572887445e-06,0.0011330428349997507,0.003532978656313424,0.002061897704218764,6.087714349408064e-08,6.97302605526871e-06,8.614908349163616e-05,2.5134400687356667e-05
G4.2.2,10,100,3.04199056699872e-06,0.001108375028707087,0.0034317499957978725,0.002000249980483204,4.249974153935909e-06,0.0011662080069072545,0.005898917035665363,0.0022401249734684825,3.14445775475795e-06,0.001131941705381872,0.0035118294894550994,0.0020452831754887196,1.0845672582058208e-07,7.653824831822211e-06,0.00014817687167394068,1.7560485349160043e-05
G4.2.3,10,100,3.0829687602818012e-06,0.001114749989937991,0.003425000002607703,0.0020019999938085675,3.7909485399723053e-06,0.0013727089972235262,0.0038712919922545552,0.0024376250221394002,3.1587382630053638e-06,0.0011449161031178746,0.0035010355600429426,0.0020535881273242356,9.261803213280945e-08,2.6356199016617574e-05,2.394236757029871e-05,4.682807376146608e-05
G2.3.1,25,10,1.3707962352782488e-05,0.0006321659893728793,0.002255457977298647,0.001104000024497509,1.4499993994832039e-05,0.0013622500118799508,0.0024245830136351287,0.0014873750042170286,1.376334197319499e-05,0.0006496463922962301,0.0023020072911401424,0.001132153285132748,1.254598159286647e-07,2.4679680718233492e-05,2.3554834652192103e-05,2.5436829149518787e-05
G2.3.2,25,10,1.1833966709673405e-05,0.0005343329976312816,0.0018881250289268792,0.0009192079887725413,1.2792006600648165e-05,0.0008488750318065286,0.0028310419875197113,0.005992833990603685,1.200347550265077e-05,0.0005475279116956902,0.001936461980386843,0.0009455770057980271,1.6092875727459134e-07,1.236490260230371e-05,5.5175225823048296e-05,0.00015971421799590308
G2.3.3,25,10,1.1749973054975271e-05,0.0005307499668560922,0.001876791997347027,0.0010071659926325083,1.2499978765845299e-05,0.0008135419921018183,0.0027710829745046794,0.002204707998316735,1.1873213857736276e-05,0.0005451916060325634,0.0019283316224397598,0.0010306555028372051,1.5204913517077505e-07,1.2262416937884854e-05,5.3406436600778544e-05,4.016570256654287e-05
G4.2.1,25,10,1.3791024684906006e-05,0.0006645419634878635,0.002369249996263534,0.001260707969777286,1.4499993994832039e-05,0.0015620830236002803,0.002826999989338219,0.001954541017767042,1.3866215753792362e-05,0.0006950552338077053,0.002462043668900432,0.001296324470936592,8.815806308057775e-08,2.9958464677165277e-05,3.6909463837080535e-05,3.605083909811647e-05
G4.2.2,25,10,1.4708028174936771e-05,0.0007106670527718961,0.0025483749923296273,0.0013522080262191594,1.575000351294875e-05,0.009023291990160942,0.0029640000429935753,0.002136374998372048,1.481317590470567e-05,0.0007451201267433175,0.0026033513953128327,0.0013864045785853903,1.7650976866162632e-07,0.0002906805170071077,3.184954396485289e-05,3.89707111077094e-05
G4.2.3,25,10,1.2708012945950031e-05,0.000598000013269484,0.002084875013679266,0.001113500038627535,1.3542012311518192e-05,0.0007282919832505286,0.0024458749685436487,0.0013409999664872885,1.2877106200903654e-05,0.0006096472438320138,0.002131204610708984,0.0011338039924914745,1.8874083051480902e-07,6.964847744644415e-06,4.0459272104077524e-05,1.8181870031313552e-05
