,SERVICES,SERVICE_DATA,MIN_ALL,MIN_ANALYSIS,MIN_PLANNING,MIN_EXECUTION,MAX_ALL,MAX_ANALYSIS,MAX_PLANNING,MAX_EXECUTION,AVG_ALL,AVG_ANALYSIS,AVG_PLANNING,AVG_EXECUTION,STD_ALL,STD_ANALYSIS,STD_PLANNING,STD_EXECUTION
G4.2.1,100,10,0.00018370803445577621,0.009664792043622583,0.038223042036406696,0.019274334015790373,0.0001865830272436142,0.011320624966174364,0.0683911670348607,0.021537749969866127,0.00018437519902363418,0.00990157354025024,0.039852019235975325,0.01967829898169909,1.2438282782419994e-06,0.00022917412553102827,0.005823657380961385,0.00032755170569128886
G4.2.2,100,10,0.00017320894403383136,0.00921570899663493,0.035688625008333474,0.017839332984294742,0.00018058298155665398,0.01021891599521041,0.03627941699232906,0.019240166002418846,0.00017478339141234754,0.009318261983463782,0.03603235724897656,0.017930448732970814,3.2444598534073953e-06,0.00014779999910344462,0.00012376869388742778,0.0002374595733369235
G4.2.3,100,10,0.0001740830484777689,0.009167707990854979,0.03592208295594901,0.017799916968215257,0.00017849996220320463,0.010158999997656792,0.036591082985978574,0.01928608398884535,0.00017504980787634848,0.00925672607640822,0.03601859067566693,0.017919438735160203,1.9301559835453023e-06,0.00016996219328404058,0.00011706522084423558,0.00023472484406200322
G2.3.1,100,25,0.00018033303786069155,0.02176666702143848,0.08511929103406146,0.04220700002042577,0.00018420798005536199,0.022580707969609648,0.08850666601210833,0.04249991598771885,0.00018153301207348704,0.02200086410891305,0.08577906942324869,0.04230719569655459,1.5437579027539981e-06,0.00011654349389455539,0.000968327989273181,6.321418863815488e-05
G2.3.2,100,25,0.00019233301281929016,0.022152540972456336,0.08608045900473371,0.04261370800668374,0.00025949999690055847,0.022968375007621944,0.0905445420066826,0.04291012499015778,0.00021105800988152623,0.02222978795826849,0.08669681942168002,0.042718230877653696,2.7857460897870997e-05,0.00011683091906716095,0.0012479302452292713,8.401933515618763e-05
G2.3.3,100,25,0.00015508296201005578,0.018776707991492003,0.0728340829955414,0.036834375001490116,0.00015829101903364062,0.01885204197606072,0.07688770798267797,0.03993733297102153,0.00015589138492941857,0.01879727068201949,0.07355992249046851,0.03717450010299217,1.3539958472403337e-06,2.0008526976283142e-05,0.0010909144819608203,0.0007489704635955217
G4.2.1,100,25,0.00018816703232005239,0.02313791698543355,0.08991870901081711,0.044592374993953854,0.00019095896277576685,0.023258832981809974,0.09415366599569097,0.04780958400806412,0.00018881700234487652,0.023188633550572293,0.09087241316350021,0.04506734964873075,1.2043749135254158e-06,2.880946342181226e-05,0.001410236468465211,0.0008430690894298312
G4.2.2,100,25,0.0001990830060094595,0.024887874955311418,0.09717650001402944,0.04926412500208244,0.0002097910037264228,0.025788708997424692,0.09747216600226238,0.05261679197428748,0.0002017498016357422,0.02500571853838997,0.09724064764503221,0.04966863685209925,4.589318316903586e-06,0.00017772363627405525,8.867882244972873e-05,0.000816329002567442
G4.2.3,100,25,0.00020304200006648898,0.025400292011909187,0.09865854203235358,0.0500519999768585,0.00020604103337973356,0.027624250040389597,0.10231208399636671,0.05466774996602908,0.0002037998056039214,0.025605087477015332,0.09944036009255797,0.05054688329691999,1.261619182041784e-06,0.0003963520537654384,0.0009774120460013238,0.0010374462743290302
G2.3.1,100,50,0.00018962501781061292,0.044640874955803156,0.1730188750079833,0.08620254200650379,0.00019245798466727138,0.04826904204674065,0.17495262500597164,0.08648854197235778,0.00019032518612220882,0.04495077734843463,0.17372336799356466,0.08630483015440404,1.205695243262992e-06,0.0007387333729972043,0.0006784546194968133,7.3070476568504e-05
G2.3.2,100,50,0.00020533299539238214,0.048331708007026464,0.18797391699627042,0.0949872910277918,0.000208500016015023,0.052447666006628424,0.18940149998525158,0.09534508298384026,0.00020631680963560938,0.048724926428847196,0.18832495166376853,0.09510274609254504,1.3518570446448015e-06,0.0009082849189740792,0.0005385945162399884,0.00010577192915275307
G2.3.3,100,50,0.00019833300029858947,0.046433707990217954,0.1806442920351401,0.09161645796848461,0.00020195799879729748,0.05012987501686439,0.18225862504914403,0.09249233303125948,0.00019918319303542377,0.046678422317861325,0.18117309017300917,0.09187674618177963,1.5540697746703966e-06,0.0007763789753203001,0.0005987374266200972,0.00025104156541605086
G4.2.1,100,50,0.00020708300871774554,0.04918287502368912,0.191095249960199,0.09676887496607378,0.0002096669632010162,0.055254083999898285,0.1947290829848498,0.09913020802196115,0.0002077665994875133,0.04966559328438182,0.19195634050023122,0.09720767910475843,1.0708897356183363e-06,0.001323295578027462,0.00137830985195932,0.0007333892659132786
G4.2.2,100,50,0.00020637502893805504,0.04986370902042836,0.19449866603827104,0.09653358301147819,0.00021024997113272548,0.05148333398392424,0.19652283401228487,0.10131854203063995,0.00020749979885295033,0.05015573413887372,0.19515137517979989,0.09731385609748858,1.5715459887771973e-06,0.00034010066833889266,0.0007407326628556405,0.001423973882435429
G4.2.3,100,50,0.00020108302123844624,0.04857749998336658,0.18880054098553956,0.0938763750018552,0.00020483299158513546,0.06873274996178225,0.19574370799819008,0.0960029999841936,0.00020195001270622014,0.050059980139069794,0.1905994999979157,0.09428964018165557,1.6163541382024942e-06,0.0043474889506266755,0.0026342786699271284,0.0006327242228093091
G2.3.1,100,100,0.00020595797104761004,0.09387924999464303,0.36419416702119634,0.1846738330204971,0.00020916596986353397,0.09949166601290926,0.3741365830064751,0.1894643330015242,0.00020679979352280497,0.09465171982513064,0.36671075839549305,0.18586022917103642,1.3358024928687823e-06,0.0016911347093684394,0.004251922589503856,0.0018761078789520467
G2.3.2,100,100,0.00020549999317154288,0.0946739999926649,0.3673006250173785,0.18613870796980336,0.00020804197993129492,0.09571408299962059,0.37458516703918576,0.18643954099388793,0.0002062333864159882,0.0948724544617686,0.3688129920163192,0.18625099967660694,1.0403203051460809e-06,0.0003341894687544349,0.0032273892372402303,0.00010628643829920081
G2.3.3,100,100,0.0002014579949900508,0.09254824998788536,0.35894837498199195,0.17750033299671486,0.00021354202181100845,0.09441016695927829,0.36840399994980544,0.18447962502250448,0.00020481679821386932,0.09307573499708352,0.361924125184305,0.1790850903489627,5.168207966837974e-06,0.0006145954008600192,0.00388752048891575,0.00279358291812236
G4.2.1,100,100,0.00020633300300687551,0.09785733302123845,0.3799233750323765,0.18881637504091486,0.00021191698033362627,0.10364729102002457,0.3864268330507912,0.1966137089766562,0.0002076084027066827,0.0987560452776961,0.38171303340932355,0.1908060623294053,2.419262351354585e-06,0.0017428785009634502,0.0026602472920589505,0.0030499071281078695
G4.2.2,100,100,0.00020708300871774554,0.0975683750002645,0.37850212497869506,0.19239083299180493,0.00021658302284777164,0.10316287499153987,0.38809225003933534,0.19959229201776907,0.00020922500407323242,0.09853552059503272,0.38107270820764827,0.1948781663280291,4.118787812931244e-06,0.0016718604116561706,0.003972236991441484,0.002496174182420591
G4.2.3,100,100,0.00020574999507516623,0.09727975004352629,0.3791067499550991,0.19252504099858925,0.00021137495059520006,0.10251512500690296,0.38751662499271333,0.19432700000470504,0.00020708338124677538,0.09812339017464017,0.3815476917894557,0.193379666491334,2.4083449793651225e-06,0.0016271460361414886,0.0033827194469931276,0.0007682666109145217
