,SERVICES,SERVICE_DATA,MIN,MAX,AVG,STD
G4.2.3,50,25,0.023701249971054494,0.025304707989562303,0.024185022340644513,0.00022730060459314632
G2.3.1,50,50,0.04608233302133158,0.047475250030402094,0.046276327592998066,0.00035257115986833486
G2.3.2,50,50,0.04466441698605195,0.0455829169950448,0.045213845998818135,0.00037343197181513517
G2.3.3,50,50,0.04577233298914507,0.050524374993983656,0.046647462139265954,0.0009678980805521311
G4.2.1,50,50,0.024491624964866787,0.02528258302481845,0.02488282481387544,9.240517255816843e-05
G4.2.2,50,50,0.024927916994784027,0.025075667013879865,0.024976518824405502,4.203177861426656e-05
G4.2.3,50,50,0.024360249983146787,0.028205750044435263,0.02465295329513937,0.0006844231962229642
G2.3.1,50,100,0.08886145800352097,0.09353729197755456,0.09028730892168824,0.0011153221636349333
G2.3.2,50,100,0.09173650003504008,0.09563433396397159,0.09254539782308381,0.001068993157942536
G2.3.3,50,100,0.046761958044953644,0.0509592920425348,0.04706933336406523,0.0008715226501324632
G4.2.1,50,100,0.04842291696695611,0.04881716601084918,0.048497488093008065,9.188538581280464e-05
G4.2.2,50,100,0.04853058303706348,0.05184074997669086,0.04886251400291387,0.0007485276104022538
G4.2.3,50,100,0.04806300002383068,0.04910725000081584,0.04871523414926958,0.00022144995430973765
G2.3.1,100,10,0.038173125009052455,0.03895166696747765,0.03833482215234723,0.00013251484025979149
G2.3.2,100,10,0.0329737089923583,0.03664587502134964,0.0334458083671052,0.000845886055554311
G2.3.3,100,10,0.03729520901106298,0.03999537497293204,0.037746747104123374,0.0005819692384304292
G4.2.1,100,10,0.040751916996669024,0.04659083404112607,0.041293000124860556,0.0011323715174311332
G4.2.2,100,10,0.03958475001854822,0.04192358301952481,0.03989485092908861,0.0005136149476085989
G4.2.3,100,10,0.039314833004027605,0.040188707993365824,0.039534346075155415,0.00017256333200253604
G2.3.1,100,25,0.0915074169752188,0.09372995799640194,0.09207714410414072,0.0005748414021146391
G2.3.2,100,25,0.09209795802598819,0.10650249995524064,0.09462659854695878,0.00464720904763548
G2.3.3,100,25,0.08543450001161546,0.08856341702630743,0.08604000009169492,0.0009532233859705212
G4.2.1,100,25,0.09487483400152996,0.0994504580157809,0.09552539027804001,0.0014384690306014877
G4.2.2,100,25,0.0993537079775706,0.10387158300727606,0.10020283719641157,0.001327030947728497
G4.2.3,100,25,0.05015124997589737,0.05103262502234429,0.050370724845561196,0.0001992376833635459
G2.3.1,100,50,0.18345629196846858,0.18419120903126895,0.18380198633531108,0.00023679187442061592
G2.3.2,100,50,0.0951346670044586,0.09893279196694493,0.09564726843705608,0.0012376888157020398
G2.3.3,100,50,0.18671020801411942,0.190826416015625,0.18813874284387566,0.0016980738537417787
G4.2.1,100,50,0.09674412501044571,0.10102504101814702,0.09728279155784879,0.0012514549098544161
G4.2.2,100,50,0.09870787500403821,0.09971991699421778,0.09896156444764612,0.00028641102434075986
G4.2.3,100,50,0.19322583300527185,0.1983236669912003,0.19449922916828655,0.0019851130403671182
G2.3.1,100,100,0.185202999971807,0.19052162498701364,0.18629009016634276,0.0020970380221428703
G2.3.2,100,100,0.1863282920094207,0.19308420800371096,0.18760776367465345,0.0026911299474633144
G2.3.3,100,100,0.36688049999065697,0.3745119999512099,0.3685536245815456,0.0033383540060247137
G4.2.1,100,100,0.1930092090042308,0.19353583303745836,0.19324455582924807,0.00017796407930184847
G4.2.2,100,100,0.19375016703270376,0.19492999999783933,0.194241215348787,0.0005191359611424838
G4.2.3,100,100,0.19248541700653732,0.1969622090109624,0.19364590282202698,0.0016691123167335482
